segment,ranker,ef_search,cand_ceiling,mean_nodes_visited,mean_dist_comps,recall@50rerank,sel_rerank_depth,heldout_recall,warm_p50_us,warm_p95_us,warm_p99_us,status
clustered,ADC,500,0.5820,1548.3,1548.3,0.1413,500,0.5860,422.1,527.2,554.4,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,HAMMING,20,0.0367,208.1,208.1,0.0367,20,0.0370,11.3,16.2,22.0,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,HAMMING,50,0.0720,332.1,332.1,0.0720,50,0.0800,28.5,47.3,58.3,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,HAMMING,100,0.1347,485.3,485.3,0.0800,100,0.1380,56.1,81.9,96.2,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,HAMMING,200,0.2100,726.5,726.5,0.0893,200,0.2130,114.9,148.3,170.8,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,HAMMING,500,0.3827,1362.9,1362.9,0.0887,500,0.3960,280.3,340.9,378.4,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,CORRECTED,20,0.0940,229.1,229.1,0.0940,20,0.0910,25.2,42.1,62.8,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,CORRECTED,50,0.2247,368.8,368.8,0.2247,50,0.1990,51.6,79.6,98.8,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,CORRECTED,100,0.3667,539.0,539.0,0.2573,100,0.3470,95.3,156.8,194.5,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,CORRECTED,200,0.5620,774.5,774.5,0.3167,200,0.5360,169.2,242.5,275.2,SLA_UNACHIEVABLE_AT_MAX_CONFIG
clustered,CORRECTED,500,0.8520,1452.1,1452.1,0.3573,500,0.8480,389.3,501.8,530.0,SLA_UNACHIEVABLE_AT_MAX_CONFIG
