dataset,uniform1_ceil,had_c2_ceil,rabitq_ceil,delta_transform,delta_estimator
fmnist784,0.9165,0.9435,1.0,+0.027,+0.056
nytimes256,0.6885,0.4855,0.6305,-0.203,+0.145
