dataset,estimator,k,pool,target,mode,cal_qcount,mean_selected_depth,std_selected_depth,mean_heldout_recall,worst_heldout_recall,sla_miss_rate,best_fixed_depth,oracle_mean_depth,min100_recall,savings_vs_min100,savings_vs_fullpool,gap_to_best_fixed,gap_to_oracle,pool_recall
clustered,ADC,10,1000,0.95,mean,200,1000.0,0.0,0.6828,0.6160,1.00,1000,717.4,0.2044,-9.000,0.000,0,282.6,0.6828
clustered,ADC,10,1000,0.95,conservative,200,1000.0,0.0,0.6828,0.6160,1.00,1000,717.4,0.2044,-9.000,0.000,0,282.6,0.6828
clustered,ADC,10,1000,0.99,mean,200,1000.0,0.0,0.6828,0.6160,1.00,1000,717.4,0.2044,-9.000,0.000,0,282.6,0.6828
clustered,ADC,10,1000,0.99,conservative,200,1000.0,0.0,0.6828,0.6160,1.00,1000,717.4,0.2044,-9.000,0.000,0,282.6,0.6828
clustered,HAMMING,10,1000,0.90,mean,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,HAMMING,10,1000,0.90,conservative,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,HAMMING,10,1000,0.95,mean,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,HAMMING,10,1000,0.95,conservative,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,HAMMING,10,1000,0.99,mean,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,HAMMING,10,1000,0.99,conservative,200,1000.0,0.0,0.4576,0.4200,1.00,1000,620.3,0.1020,-9.000,0.000,0,379.7,0.4576
clustered,CORRECTED,10,1000,0.90,mean,200,1000.0,0.0,0.9400,0.9160,0.00,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
clustered,CORRECTED,10,1000,0.90,conservative,200,1000.0,0.0,0.9400,0.9160,0.00,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
clustered,CORRECTED,10,1000,0.95,mean,200,1000.0,0.0,0.9400,0.9160,0.60,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
clustered,CORRECTED,10,1000,0.95,conservative,200,1000.0,0.0,0.9400,0.9160,0.60,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
clustered,CORRECTED,10,1000,0.99,mean,200,1000.0,0.0,0.9400,0.9160,1.00,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
clustered,CORRECTED,10,1000,0.99,conservative,200,1000.0,0.0,0.9400,0.9160,1.00,1000,487.3,0.5216,-9.000,0.000,0,512.7,0.9400
