segment,representation,bits,rotation,ef_search,candidate_ceiling,mean_nodes_visited,recall@100rerank,warm_p50_us,warm_p99_us
isotropic,4bit_rot,4,true,500,0.9233,4799.7,0.8530,3419.0,3686.6
clustered,fp32,32,false,20,0.6133,314.6,0.6100,26.8,51.1
clustered,fp32,32,false,50,0.7707,456.9,0.7520,49.4,98.9
clustered,fp32,32,false,100,0.8833,580.8,0.8630,78.6,169.0
clustered,fp32,32,false,200,0.9480,740.5,0.9350,131.7,200.6
clustered,fp32,32,false,500,0.9720,1285.4,0.9680,257.3,406.5
clustered,1bit,1,false,20,0.0453,249.2,0.0430,23.4,54.0
clustered,1bit,1,false,50,0.0920,410.5,0.0820,51.8,120.0
clustered,1bit,1,false,100,0.1667,628.0,0.1520,100.6,236.8
clustered,1bit,1,false,200,0.2920,917.1,0.1660,173.8,389.0
clustered,1bit,1,false,500,0.5400,1672.8,0.1780,317.5,481.7
clustered,1bit_rot,1,true,20,0.1560,322.4,0.1550,29.5,57.9
clustered,1bit_rot,1,true,50,0.3247,515.1,0.3080,64.0,120.1
clustered,1bit_rot,1,true,100,0.4853,693.1,0.4790,113.5,190.0
clustered,1bit_rot,1,true,200,0.6773,1028.3,0.5240,191.8,315.9
clustered,1bit_rot,1,true,500,0.8753,1831.4,0.5590,367.5,533.3
clustered,2bit,2,false,20,0.1280,307.9,0.1320,28.1,44.6
clustered,2bit,2,false,50,0.2413,508.3,0.2480,61.5,97.5
clustered,2bit,2,false,100,0.4160,739.1,0.4120,100.6,170.8
clustered,2bit,2,false,200,0.6133,1096.7,0.4370,162.9,253.7
clustered,2bit,2,false,500,0.8433,1820.0,0.4350,313.8,464.6
clustered,2bit_rot,2,true,20,0.1087,232.7,0.1060,22.3,46.4
clustered,2bit_rot,2,true,50,0.2467,381.6,0.2460,49.7,96.6
clustered,2bit_rot,2,true,100,0.3647,549.8,0.3500,87.9,148.0
clustered,2bit_rot,2,true,200,0.4980,794.9,0.3820,145.5,246.1
clustered,2bit_rot,2,true,500,0.7573,1508.8,0.3700,304.2,477.6
clustered,4bit,4,false,20,0.4880,312.4,0.4740,27.9,56.1
clustered,4bit,4,false,50,0.7013,449.7,0.6750,55.3,88.8
clustered,4bit,4,false,100,0.8460,596.7,0.8110,90.9,183.6
clustered,4bit,4,false,200,0.9480,796.5,0.9210,143.2,251.5
clustered,4bit,4,false,500,0.9647,1400.5,0.9350,296.0,455.0
clustered,4bit_rot,4,true,20,0.3700,277.2,0.3610,25.4,40.8
clustered,4bit_rot,4,true,50,0.5720,432.0,0.5640,53.3,104.5
clustered,4bit_rot,4,true,100,0.7727,585.4,0.7630,90.1,183.1
clustered,4bit_rot,4,true,200,0.9327,790.4,0.8130,144.4,284.4
clustered,4bit_rot,4,true,500,0.9953,1471.8,0.8290,296.7,428.9
