kernel,bit_width,dimension,implementation,isa,access_pattern,query_prep_ns,score_ns,cycles_per_dim_est,scores_per_second_M,speedup_vs_scalar,bytes_per_score
scalar,2,1536,scalar,arm64,sequential,0,2431.40,6.965,0.4,1.00,384
lut,2,1536,lut,arm64,sequential,5750,1275.28,3.653,0.8,1.91,384
dot_autovec,2,1536,autovec_superword,arm64,sequential,57834,1017.22,2.914,1.0,2.39,384
scalar,2,1536,scalar,arm64,random,0,2468.75,7.072,0.4,1.00,384
lut,2,1536,lut,arm64,random,6500,1319.24,3.779,0.8,1.87,384
dot_autovec,2,1536,autovec_superword,arm64,random,59875,1040.91,2.982,1.0,2.37,384
scalar,4,1536,scalar,arm64,sequential,0,2367.27,6.781,0.4,1.00,768
lut,4,1536,lut,arm64,sequential,14791,1257.48,3.602,0.8,1.88,768
dot_autovec,4,1536,autovec_superword,arm64,sequential,60208,1067.84,3.059,0.9,2.22,768
scalar,4,1536,scalar,arm64,random,0,2549.84,7.304,0.4,1.00,768
lut,4,1536,lut,arm64,random,15583,1320.76,3.783,0.8,1.93,768
dot_autovec,4,1536,autovec_superword,arm64,random,60541,1144.87,3.280,0.9,2.23,768
scalar,32,1536,scalar,arm64,sequential,0,1260.94,3.612,0.8,1.00,6144
scalar,32,1536,scalar,arm64,random,0,1326.99,3.801,0.8,1.00,6144
