seg,type,dim,N,rep,precond,policy,frac,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,min_ef_095,feasible_095,build_ms
1,iid128,128,8000,uniform4,none,uniform,0.00,4.000,64,0,64,0.5930,0.7880,0.9060,0.9600,0.9890,0.9890,200,1,2530
1,iid128,128,8000,frac1.25,none,random,0.25,1.250,20,0,20,0.1300,0.2640,0.4020,0.5760,0.7760,0.7760,-1,0,3587
1,iid128,128,8000,frac1.25,none,variance,0.25,1.250,20,0,20,0.1440,0.2720,0.4120,0.5830,0.7760,0.7760,-1,0,3612
1,iid128,128,8000,frac1.25,none,recon,0.25,1.250,20,0,20,0.1480,0.2720,0.4090,0.5750,0.8090,0.8090,-1,0,3597
1,iid128,128,8000,frac1.25,none,nbhd,0.25,1.250,20,0,20,0.1480,0.2700,0.4180,0.5820,0.7730,0.7730,-1,0,3553
1,iid128,128,8000,frac1.5,none,random,0.50,1.500,24,0,24,0.1420,0.2430,0.3920,0.5380,0.7510,0.7510,-1,0,3433
1,iid128,128,8000,frac1.5,none,variance,0.50,1.500,24,0,24,0.1410,0.2630,0.4000,0.5410,0.7520,0.7520,-1,0,3390
1,iid128,128,8000,frac1.5,none,recon,0.50,1.500,24,0,24,0.1360,0.2570,0.4090,0.5700,0.7790,0.7790,-1,0,3439
1,iid128,128,8000,frac1.5,none,nbhd,0.50,1.500,24,0,24,0.1400,0.2650,0.3850,0.5380,0.7560,0.7560,-1,0,3424
1,iid128,128,8000,had_uniform1,hadamard,uniform,0.00,1.000,16,0,16,0.1510,0.2980,0.4490,0.6220,0.8230,0.8230,-1,0,3718
1,iid128,128,8000,had_frac1.5,hadamard,variance,0.50,1.500,24,0,24,0.1320,0.2600,0.3870,0.5460,0.7380,0.7380,-1,0,3528
1,iid128,128,8000,fp32,none,none,0.00,32.000,512,0,512,0.6060,0.8200,0.9180,0.9680,0.9930,0.9930,200,1,1717
2,iid384,384,7000,uniform1,none,uniform,0.00,1.000,48,0,48,0.1210,0.2460,0.3890,0.5900,0.8250,0.8250,-1,0,9281
2,iid384,384,7000,smart1,none,condmean,0.00,1.000,48,0,48,0.1040,0.2340,0.3890,0.5740,0.8480,0.8480,-1,0,9360
2,iid384,384,7000,uniform2,none,uniform,0.00,2.000,96,0,96,0.1920,0.3660,0.5470,0.7200,0.9070,0.9070,-1,0,8073
2,iid384,384,7000,uniform4,none,uniform,0.00,4.000,192,0,192,0.5290,0.7420,0.8730,0.9350,0.9840,0.9840,500,1,6042
2,iid384,384,7000,frac1.25,none,random,0.25,1.250,60,0,60,0.1040,0.2440,0.3760,0.5590,0.7760,0.7760,-1,0,9203
2,iid384,384,7000,frac1.25,none,variance,0.25,1.250,60,0,60,0.1090,0.2260,0.3790,0.5550,0.7920,0.7920,-1,0,9221
2,iid384,384,7000,frac1.25,none,recon,0.25,1.250,60,0,60,0.1350,0.2510,0.3970,0.5800,0.7950,0.7950,-1,0,9232
2,iid384,384,7000,frac1.25,none,nbhd,0.25,1.250,60,0,60,0.1200,0.2270,0.3780,0.5430,0.7720,0.7720,-1,0,9209
2,iid384,384,7000,frac1.5,none,random,0.50,1.500,72,0,72,0.1220,0.2250,0.3570,0.5410,0.7700,0.7700,-1,0,9063
2,iid384,384,7000,frac1.5,none,variance,0.50,1.500,72,0,72,0.0960,0.2020,0.3690,0.5450,0.7730,0.7730,-1,0,9174
2,iid384,384,7000,frac1.5,none,recon,0.50,1.500,72,0,72,0.1200,0.2330,0.3710,0.5460,0.7700,0.7700,-1,0,9116
2,iid384,384,7000,frac1.5,none,nbhd,0.50,1.500,72,0,72,0.1000,0.2100,0.3480,0.5250,0.7490,0.7490,-1,0,8797
2,iid384,384,7000,had_uniform1,hadamard,uniform,0.00,1.333,64,0,64,0.1400,0.2630,0.4300,0.6090,0.8400,0.8400,-1,0,11907
2,iid384,384,7000,had_frac1.5,hadamard,variance,0.50,2.000,96,0,96,0.1170,0.2430,0.3940,0.5900,0.8100,0.8100,-1,0,11831
2,iid384,384,7000,fp32,none,none,0.00,32.000,1536,0,1536,0.5620,0.7650,0.8910,0.9440,0.9840,0.9840,500,1,4166
3,manifold768,768,6000,uniform1,none,uniform,0.00,1.000,96,0,96,0.0510,0.1210,0.1890,0.2990,0.4960,0.4960,-1,0,13489
3,manifold768,768,6000,smart1,none,condmean,0.00,1.000,96,0,96,0.0370,0.0770,0.1390,0.2210,0.3950,0.3950,-1,0,13312
3,manifold768,768,6000,uniform2,none,uniform,0.00,2.000,192,0,192,0.1900,0.3740,0.5610,0.7330,0.9060,0.9060,-1,0,11997
3,manifold768,768,6000,uniform4,none,uniform,0.00,4.000,384,0,384,0.9180,0.9980,1.0000,1.0000,1.0000,1.0000,50,1,9337
3,manifold768,768,6000,frac1.25,none,random,0.25,1.250,120,0,120,0.0610,0.1300,0.2080,0.3310,0.5430,0.5430,-1,0,13488
3,manifold768,768,6000,frac1.25,none,variance,0.25,1.250,120,0,120,0.0710,0.1410,0.2260,0.3370,0.5350,0.5350,-1,0,13514
3,manifold768,768,6000,frac1.25,none,recon,0.25,1.250,120,0,120,0.0690,0.1310,0.2110,0.3190,0.5250,0.5250,-1,0,13638
3,manifold768,768,6000,frac1.25,none,nbhd,0.25,1.250,120,0,120,0.0590,0.1130,0.1950,0.3240,0.5300,0.5300,-1,0,13569
3,manifold768,768,6000,frac1.5,none,random,0.50,1.500,144,0,144,0.0720,0.1410,0.2370,0.3640,0.5840,0.5840,-1,0,13472
3,manifold768,768,6000,frac1.5,none,variance,0.50,1.500,144,0,144,0.0790,0.1570,0.2640,0.3950,0.5840,0.5840,-1,0,13414
3,manifold768,768,6000,frac1.5,none,recon,0.50,1.500,144,0,144,0.0740,0.1360,0.2280,0.3730,0.5770,0.5770,-1,0,13359
3,manifold768,768,6000,frac1.5,none,nbhd,0.50,1.500,144,0,144,0.0850,0.1540,0.2430,0.3730,0.5890,0.5890,-1,0,13168
3,manifold768,768,6000,had_uniform1,hadamard,uniform,0.00,1.333,128,0,128,0.0640,0.1560,0.2420,0.3560,0.5680,0.5680,-1,0,18045
3,manifold768,768,6000,had_frac1.5,hadamard,variance,0.50,2.000,192,0,192,0.1060,0.2280,0.3620,0.4860,0.7080,0.7080,-1,0,17685
3,manifold768,768,6000,fp32,none,none,0.00,32.000,3072,0,3072,0.9230,1.0000,1.0000,1.0000,1.0000,1.0000,50,1,7472
