config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
rotation,isotropic,384,cosine,50,0.2120,0.3232,0.4096,0.5220,0.6968,0.3232,0.6105,0.7755,-0.0000
rotation,isotropic,384,cosine,100,0.2564,0.3966,0.4918,0.6264,0.8089,0.2564,0.6105,0.7755,-0.0000
adc_rot,isotropic,384,cosine,10,0.1330,0.1930,0.2410,0.3230,0.4660,0.4660,0.6044,0.7809,0.0000
adc_rot,isotropic,384,cosine,50,0.2004,0.3098,0.3860,0.5054,0.6706,0.3098,0.6044,0.7809,0.0000
adc_rot,isotropic,384,cosine,100,0.2510,0.3806,0.4798,0.6086,0.7905,0.2510,0.6044,0.7809,0.0000
baseline,isotropic,768,l2,10,0.0660,0.1160,0.1580,0.2190,0.3220,0.3220,0.5015,0.8538,-0.0000
baseline,isotropic,768,l2,50,0.1394,0.2248,0.2870,0.3908,0.5544,0.2248,0.5015,0.8538,-0.0000
baseline,isotropic,768,l2,100,0.1856,0.2952,0.3795,0.5024,0.7020,0.1856,0.5015,0.8538,-0.0000
adc,isotropic,768,l2,10,0.1410,0.2260,0.2870,0.3870,0.5240,0.5240,0.6382,0.7548,-0.0000
adc,isotropic,768,l2,50,0.2378,0.3556,0.4458,0.5582,0.7302,0.3556,0.6382,0.7548,-0.0000
adc,isotropic,768,l2,100,0.2833,0.4263,0.5268,0.6637,0.8374,0.2833,0.6382,0.7548,-0.0000
rotation,isotropic,768,l2,10,0.0890,0.1300,0.1690,0.2450,0.3360,0.3360,0.5011,0.8545,0.0000
rotation,isotropic,768,l2,50,0.1504,0.2264,0.2912,0.3892,0.5526,0.2264,0.5011,0.8545,0.0000
rotation,isotropic,768,l2,100,0.1808,0.2848,0.3613,0.4885,0.6878,0.1808,0.5011,0.8545,0.0000
adc_rot,isotropic,768,l2,10,0.1600,0.2450,0.3000,0.3900,0.5300,0.5300,0.6358,0.7564,0.0000
adc_rot,isotropic,768,l2,50,0.2338,0.3520,0.4366,0.5530,0.7254,0.3520,0.6358,0.7564,0.0000
adc_rot,isotropic,768,l2,100,0.2781,0.4169,0.5181,0.6588,0.8313,0.2781,0.6358,0.7564,0.0000
baseline,isotropic,768,cosine,10,0.1120,0.1790,0.2270,0.3010,0.4280,0.4280,0.6171,0.7710,0.0000
baseline,isotropic,768,cosine,50,0.2000,0.3190,0.3988,0.5240,0.6982,0.3190,0.6171,0.7710,0.0000
baseline,isotropic,768,cosine,100,0.2556,0.3954,0.4950,0.6292,0.8104,0.2556,0.6171,0.7710,0.0000
adc,isotropic,768,cosine,10,0.1230,0.1840,0.2380,0.3110,0.4400,0.4400,0.6029,0.7825,0.0000
adc,isotropic,768,cosine,50,0.1958,0.3036,0.3876,0.5044,0.6826,0.3036,0.6029,0.7825,0.0000
adc,isotropic,768,cosine,100,0.2419,0.3726,0.4740,0.6145,0.7977,0.2419,0.6029,0.7825,0.0000
rotation,isotropic,768,cosine,10,0.1500,0.2210,0.2790,0.3630,0.4820,0.4820,0.6106,0.7762,0.0000
rotation,isotropic,768,cosine,50,0.2170,0.3292,0.4062,0.5192,0.6904,0.3292,0.6106,0.7762,0.0000
rotation,isotropic,768,cosine,100,0.2586,0.3883,0.4822,0.6153,0.8047,0.2586,0.6106,0.7762,0.0000
adc_rot,isotropic,768,cosine,10,0.1340,0.1940,0.2520,0.3290,0.4630,0.4630,0.6082,0.7790,-0.0000
adc_rot,isotropic,768,cosine,50,0.2114,0.3182,0.3990,0.5192,0.6900,0.3182,0.6082,0.7790,-0.0000
adc_rot,isotropic,768,cosine,100,0.2515,0.3841,0.4794,0.6162,0.8022,0.2515,0.6082,0.7790,-0.0000
baseline,isotropic,1024,l2,10,0.0600,0.0990,0.1360,0.2000,0.3010,0.3010,0.5133,0.8469,-0.0000
baseline,isotropic,1024,l2,50,0.1436,0.2244,0.2918,0.3964,0.5594,0.2244,0.5133,0.8469,-0.0000
baseline,isotropic,1024,l2,100,0.1894,0.2988,0.3799,0.5053,0.6938,0.1894,0.5133,0.8469,-0.0000
adc,isotropic,1024,l2,10,0.1340,0.2140,0.2770,0.3750,0.5120,0.5120,0.6459,0.7485,0.0000
adc,isotropic,1024,l2,50,0.2296,0.3580,0.4482,0.5592,0.7390,0.3580,0.6459,0.7485,0.0000
adc,isotropic,1024,l2,100,0.2866,0.4328,0.5335,0.6718,0.8453,0.2866,0.6459,0.7485,0.0000
rotation,isotropic,1024,l2,10,0.0750,0.1170,0.1490,0.2110,0.3260,0.3260,0.5077,0.8499,0.0000
