config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
baseline,anisotropic,1536,l2,10,0.0030,0.0100,0.0120,0.0240,0.0430,0.0430,0.1267,0.9901,0.0002
baseline,anisotropic,1536,l2,50,0.0262,0.0478,0.0684,0.1048,0.1870,0.0478,0.1267,0.9901,0.0002
baseline,anisotropic,1536,l2,100,0.0435,0.0831,0.1180,0.1844,0.3256,0.0435,0.1267,0.9901,0.0002
adc,anisotropic,1536,l2,10,0.0080,0.0130,0.0180,0.0290,0.0510,0.0510,0.1557,1.0039,0.0001
adc,anisotropic,1536,l2,50,0.0352,0.0626,0.0886,0.1340,0.2224,0.0626,0.1557,1.0039,0.0001
adc,anisotropic,1536,l2,100,0.0555,0.0992,0.1415,0.2084,0.3636,0.0555,0.1557,1.0039,0.0001
rotation,anisotropic,1536,l2,10,0.0110,0.0190,0.0270,0.0380,0.0600,0.0600,0.1171,0.9910,-0.0000
rotation,anisotropic,1536,l2,50,0.0314,0.0546,0.0774,0.1156,0.1956,0.0546,0.1171,0.9910,-0.0000
rotation,anisotropic,1536,l2,100,0.0504,0.0886,0.1232,0.1858,0.3314,0.0504,0.1171,0.9910,-0.0000
adc_rot,anisotropic,1536,l2,10,0.0080,0.0160,0.0200,0.0350,0.0630,0.0630,0.1531,1.0091,-0.0001
adc_rot,anisotropic,1536,l2,50,0.0348,0.0638,0.0884,0.1388,0.2340,0.0638,0.1531,1.0091,-0.0001
adc_rot,anisotropic,1536,l2,100,0.0566,0.1020,0.1448,0.2152,0.3689,0.0566,0.1531,1.0091,-0.0001
baseline,anisotropic,1536,cosine,10,0.0940,0.1620,0.1990,0.2660,0.3950,0.3950,0.6208,0.7626,-0.0000
baseline,anisotropic,1536,cosine,50,0.1858,0.2950,0.3746,0.4936,0.6712,0.2950,0.6208,0.7626,-0.0000
baseline,anisotropic,1536,cosine,100,0.2386,0.3726,0.4640,0.6004,0.7837,0.2386,0.6208,0.7626,-0.0000
adc,anisotropic,1536,cosine,10,0.0810,0.1460,0.1750,0.2620,0.3670,0.3670,0.5827,0.7918,0.0000
adc,anisotropic,1536,cosine,50,0.1698,0.2668,0.3396,0.4542,0.6306,0.2668,0.5827,0.7918,0.0000
adc,anisotropic,1536,cosine,100,0.2182,0.3418,0.4355,0.5701,0.7614,0.2182,0.5827,0.7918,0.0000
rotation,anisotropic,1536,cosine,10,0.1080,0.1660,0.2060,0.2910,0.4120,0.4120,0.6190,0.7662,0.0000
rotation,anisotropic,1536,cosine,50,0.1964,0.3064,0.3822,0.4962,0.6752,0.3064,0.6190,0.7662,0.0000
rotation,anisotropic,1536,cosine,100,0.2483,0.3780,0.4721,0.6085,0.7956,0.2483,0.6190,0.7662,0.0000
adc_rot,anisotropic,1536,cosine,10,0.0690,0.1250,0.1740,0.2380,0.3390,0.3390,0.5797,0.7966,-0.0000
adc_rot,anisotropic,1536,cosine,50,0.1558,0.2524,0.3288,0.4380,0.6114,0.2524,0.5797,0.7966,-0.0000
adc_rot,anisotropic,1536,cosine,100,0.2086,0.3333,0.4228,0.5558,0.7500,0.2086,0.5797,0.7966,-0.0000
baseline,clustered,128,l2,10,0.0190,0.0320,0.0470,0.0720,0.1200,0.1200,0.4743,0.8596,0.0000
baseline,clustered,128,l2,50,0.0592,0.1068,0.1462,0.2342,0.4028,0.1068,0.4743,0.8596,0.0000
baseline,clustered,128,l2,100,0.0946,0.1709,0.2507,0.3786,0.6130,0.0946,0.4743,0.8596,0.0000
adc,clustered,128,l2,10,0.0520,0.0830,0.1140,0.1570,0.2560,0.2560,0.5925,0.7729,0.0000
adc,clustered,128,l2,50,0.1146,0.2074,0.2788,0.4012,0.6018,0.2074,0.5925,0.7729,0.0000
adc,clustered,128,l2,100,0.1827,0.3126,0.4163,0.5631,0.7964,0.1827,0.5925,0.7729,0.0000
rotation,clustered,128,l2,10,0.0200,0.0410,0.0660,0.0910,0.1550,0.1550,0.4757,0.8545,-0.0000
rotation,clustered,128,l2,50,0.0716,0.1322,0.1830,0.2578,0.4078,0.1322,0.4757,0.8545,-0.0000
rotation,clustered,128,l2,100,0.1195,0.2063,0.2734,0.3861,0.5960,0.1195,0.4757,0.8545,-0.0000
adc_rot,clustered,128,l2,10,0.0420,0.0750,0.1010,0.1640,0.2610,0.2610,0.6101,0.7664,0.0000
adc_rot,clustered,128,l2,50,0.1256,0.2210,0.2880,0.3954,0.5570,0.2210,0.6101,0.7664,0.0000
adc_rot,clustered,128,l2,100,0.1881,0.3153,0.4011,0.5261,0.7315,0.1881,0.6101,0.7664,0.0000
baseline,clustered,128,cosine,10,0.0320,0.0690,0.0840,0.1210,0.1880,0.1880,0.5985,0.7721,-0.0000
baseline,clustered,128,cosine,50,0.0916,0.1598,0.2234,0.3352,0.5230,0.1598,0.5985,0.7721,-0.0000
baseline,clustered,128,cosine,100,0.1437,0.2581,0.3548,0.4985,0.7109,0.1437,0.5985,0.7721,-0.0000
adc,clustered,128,cosine,10,0.0370,0.0580,0.0790,0.1250,0.2120,0.2120,0.5791,0.7968,-0.0000
adc,clustered,128,cosine,50,0.1076,0.1810,0.2422,0.3340,0.5088,0.1810,0.5791,0.7968,-0.0000
adc,clustered,128,cosine,100,0.1605,0.2711,0.3515,0.4849,0.6927,0.1605,0.5791,0.7968,-0.0000
rotation,clustered,128,cosine,10,0.0410,0.0660,0.0880,0.1190,0.2030,0.2030,0.6328,0.7513,-0.0000
rotation,clustered,128,cosine,50,0.1040,0.1794,0.2450,0.3424,0.5240,0.1794,0.6328,0.7513,-0.0000
rotation,clustered,128,cosine,100,0.1630,0.2779,0.3616,0.5000,0.7227,0.1630,0.6328,0.7513,-0.0000
adc_rot,clustered,128,cosine,10,0.0410,0.0710,0.0990,0.1520,0.2640,0.2640,0.6013,0.7723,-0.0000
adc_rot,clustered,128,cosine,50,0.1146,0.2050,0.2832,0.3918,0.5734,0.2050,0.6013,0.7723,-0.0000
adc_rot,clustered,128,cosine,100,0.1785,0.3061,0.4064,0.5451,0.7575,0.1785,0.6013,0.7723,-0.0000
baseline,clustered,384,l2,10,0.0200,0.0400,0.0500,0.0950,0.1530,0.1530,0.4786,0.8565,-0.0000
baseline,clustered,384,l2,50,0.0744,0.1362,0.1940,0.3004,0.4778,0.1362,0.4786,0.8565,-0.0000
baseline,clustered,384,l2,100,0.1223,0.2295,0.3164,0.4453,0.6399,0.1223,0.4786,0.8565,-0.0000
adc,clustered,384,l2,10,0.0470,0.0880,0.1150,0.1740,0.3050,0.3050,0.6507,0.7366,-0.0000
adc,clustered,384,l2,50,0.1512,0.2556,0.3388,0.4674,0.6576,0.2556,0.6507,0.7366,-0.0000
adc,clustered,384,l2,100,0.2291,0.3779,0.4781,0.6192,0.8030,0.2291,0.6507,0.7366,-0.0000
rotation,clustered,384,l2,10,0.0510,0.0780,0.0940,0.1400,0.2330,0.2330,0.4856,0.8536,-0.0000
rotation,clustered,384,l2,50,0.1114,0.1922,0.2606,0.3620,0.5404,0.1922,0.4856,0.8536,-0.0000
rotation,clustered,384,l2,100,0.1676,0.2877,0.3771,0.5121,0.7095,0.1676,0.4856,0.8536,-0.0000
adc_rot,clustered,384,l2,10,0.0690,0.1060,0.1480,0.2170,0.3740,0.3740,0.6378,0.7480,-0.0000
adc_rot,clustered,384,l2,50,0.1850,0.3222,0.4216,0.5506,0.7226,0.3222,0.6378,0.7480,-0.0000
adc_rot,clustered,384,l2,100,0.2815,0.4557,0.5533,0.6858,0.8359,0.2815,0.6378,0.7480,-0.0000
baseline,clustered,384,cosine,10,0.0340,0.0610,0.0860,0.1240,0.1980,0.1980,0.5775,0.7868,-0.0000
baseline,clustered,384,cosine,50,0.0966,0.1628,0.2314,0.3466,0.5318,0.1628,0.5775,0.7868,-0.0000
baseline,clustered,384,cosine,100,0.1502,0.2735,0.3712,0.5105,0.7249,0.1502,0.5775,0.7868,-0.0000
adc,clustered,384,cosine,10,0.0340,0.0620,0.0840,0.1430,0.2450,0.2450,0.5404,0.8218,-0.0000
adc,clustered,384,cosine,50,0.1144,0.2122,0.2810,0.3834,0.5376,0.2122,0.5404,0.8218,-0.0000
adc,clustered,384,cosine,100,0.1906,0.3074,0.3910,0.5048,0.6896,0.1906,0.5404,0.8218,-0.0000
rotation,clustered,384,cosine,10,0.0530,0.0850,0.1090,0.1670,0.2640,0.2640,0.6142,0.7662,-0.0000
rotation,clustered,384,cosine,50,0.1314,0.2242,0.3014,0.4162,0.6240,0.2242,0.6142,0.7662,-0.0000
rotation,clustered,384,cosine,100,0.1974,0.3357,0.4336,0.5877,0.8125,0.1974,0.6142,0.7662,-0.0000
adc_rot,clustered,384,cosine,10,0.0540,0.1000,0.1380,0.2090,0.3360,0.3360,0.5806,0.7820,-0.0000
adc_rot,clustered,384,cosine,50,0.1774,0.2996,0.3888,0.5078,0.6610,0.2996,0.5806,0.7820,-0.0000
adc_rot,clustered,384,cosine,100,0.2625,0.4237,0.5227,0.6404,0.7800,0.2625,0.5806,0.7820,-0.0000
baseline,clustered,768,l2,10,0.0270,0.0440,0.0640,0.0960,0.1830,0.1830,0.5129,0.8342,-0.0000
baseline,clustered,768,l2,50,0.0950,0.1730,0.2394,0.3408,0.5180,0.1730,0.5129,0.8342,-0.0000
baseline,clustered,768,l2,100,0.1649,0.2842,0.3689,0.5022,0.7059,0.1649,0.5129,0.8342,-0.0000
adc,clustered,768,l2,10,0.0510,0.0740,0.0910,0.1670,0.3020,0.3020,0.6528,0.7246,0.0000
adc,clustered,768,l2,50,0.1418,0.2618,0.3650,0.5120,0.7200,0.2618,0.6528,0.7246,0.0000
adc,clustered,768,l2,100,0.2389,0.4184,0.5499,0.6977,0.8525,0.2389,0.6528,0.7246,0.0000
rotation,clustered,768,l2,10,0.0500,0.0820,0.1060,0.1610,0.2580,0.2580,0.5322,0.8288,0.0000
rotation,clustered,768,l2,50,0.1182,0.2104,0.2816,0.3672,0.5028,0.2104,0.5322,0.8288,0.0000
rotation,clustered,768,l2,100,0.1943,0.3189,0.3930,0.4873,0.6508,0.1943,0.5322,0.8288,0.0000
adc_rot,clustered,768,l2,10,0.0720,0.0930,0.1200,0.1920,0.3310,0.3310,0.6547,0.7277,-0.0000
adc_rot,clustered,768,l2,50,0.1480,0.2586,0.3326,0.4542,0.6392,0.2586,0.6547,0.7277,-0.0000
adc_rot,clustered,768,l2,100,0.2333,0.3781,0.4769,0.6147,0.8237,0.2333,0.6547,0.7277,-0.0000
baseline,clustered,768,cosine,10,0.0510,0.0790,0.1120,0.1540,0.2630,0.2630,0.6090,0.7608,-0.0000
baseline,clustered,768,cosine,50,0.1366,0.2308,0.3092,0.4254,0.6012,0.2308,0.6090,0.7608,-0.0000
baseline,clustered,768,cosine,100,0.2169,0.3559,0.4494,0.5827,0.7684,0.2169,0.6090,0.7608,-0.0000
adc,clustered,768,cosine,10,0.0310,0.0460,0.0600,0.0860,0.1860,0.1860,0.5823,0.7843,-0.0000
adc,clustered,768,cosine,50,0.0776,0.1608,0.2476,0.3764,0.6078,0.1608,0.5823,0.7843,-0.0000
adc,clustered,768,cosine,100,0.1480,0.2909,0.4111,0.5835,0.8032,0.1480,0.5823,0.7843,-0.0000
rotation,clustered,768,cosine,10,0.0540,0.0960,0.1330,0.1880,0.3240,0.3240,0.6178,0.7603,0.0000
rotation,clustered,768,cosine,50,0.1728,0.3032,0.3962,0.5122,0.6590,0.3032,0.6178,0.7603,0.0000
rotation,clustered,768,cosine,100,0.2757,0.4362,0.5243,0.6354,0.7926,0.2757,0.6178,0.7603,0.0000
adc_rot,clustered,768,cosine,10,0.0510,0.0900,0.1220,0.1780,0.3260,0.3260,0.5763,0.7808,-0.0000
adc_rot,clustered,768,cosine,50,0.1610,0.2830,0.3682,0.4782,0.6338,0.2830,0.5763,0.7808,-0.0000
adc_rot,clustered,768,cosine,100,0.2470,0.3971,0.4916,0.6051,0.7538,0.2470,0.5763,0.7808,-0.0000
baseline,clustered,1024,l2,10,0.0490,0.0820,0.1000,0.1450,0.2510,0.2510,0.4965,0.8292,-0.0000
baseline,clustered,1024,l2,50,0.1290,0.2208,0.2982,0.4142,0.5822,0.2208,0.4965,0.8292,-0.0000
baseline,clustered,1024,l2,100,0.2058,0.3423,0.4352,0.5568,0.7346,0.2058,0.4965,0.8292,-0.0000
adc,clustered,1024,l2,10,0.0570,0.1100,0.1460,0.2190,0.3680,0.3680,0.6493,0.7160,0.0000
adc,clustered,1024,l2,50,0.1800,0.3150,0.4114,0.5648,0.7512,0.3150,0.6493,0.7160,0.0000
adc,clustered,1024,l2,100,0.2865,0.4638,0.5888,0.7190,0.8622,0.2865,0.6493,0.7160,0.0000
rotation,clustered,1024,l2,10,0.0370,0.0580,0.0780,0.1160,0.1820,0.1820,0.4590,0.8559,0.0000
rotation,clustered,1024,l2,50,0.1004,0.1732,0.2318,0.3350,0.5222,0.1732,0.4590,0.8559,0.0000
rotation,clustered,1024,l2,100,0.1537,0.2603,0.3521,0.4907,0.7055,0.1537,0.4590,0.8559,0.0000
adc_rot,clustered,1024,l2,10,0.0460,0.0750,0.1060,0.1720,0.2720,0.2720,0.5905,0.7535,0.0000
adc_rot,clustered,1024,l2,50,0.1294,0.2256,0.3128,0.4426,0.6552,0.2256,0.5905,0.7535,0.0000
adc_rot,clustered,1024,l2,100,0.1990,0.3482,0.4641,0.6213,0.8225,0.1990,0.5905,0.7535,0.0000
baseline,clustered,1024,cosine,10,0.0400,0.0640,0.0990,0.1440,0.2520,0.2520,0.5708,0.7856,-0.0000
baseline,clustered,1024,cosine,50,0.1194,0.2128,0.2866,0.4106,0.6008,0.2128,0.5708,0.7856,-0.0000
baseline,clustered,1024,cosine,100,0.1910,0.3252,0.4286,0.5693,0.7582,0.1910,0.5708,0.7856,-0.0000
adc,clustered,1024,cosine,10,0.0440,0.0640,0.0840,0.1310,0.2120,0.2120,0.5561,0.7948,0.0000
adc,clustered,1024,cosine,50,0.1038,0.1834,0.2596,0.4026,0.6358,0.1834,0.5561,0.7948,0.0000
adc,clustered,1024,cosine,100,0.1620,0.3016,0.4269,0.6049,0.7783,0.1620,0.5561,0.7948,0.0000
rotation,clustered,1024,cosine,10,0.0370,0.0620,0.0890,0.1380,0.2280,0.2280,0.5750,0.7890,-0.0000
rotation,clustered,1024,cosine,50,0.1112,0.1942,0.2664,0.3666,0.5478,0.1942,0.5750,0.7890,-0.0000
rotation,clustered,1024,cosine,100,0.1692,0.2883,0.3790,0.5161,0.7325,0.1692,0.5750,0.7890,-0.0000
adc_rot,clustered,1024,cosine,10,0.0340,0.0660,0.0850,0.1250,0.2260,0.2260,0.5205,0.8172,-0.0000
adc_rot,clustered,1024,cosine,50,0.0966,0.1750,0.2460,0.3438,0.5272,0.1750,0.5205,0.8172,-0.0000
adc_rot,clustered,1024,cosine,100,0.1508,0.2647,0.3553,0.4914,0.6988,0.1508,0.5205,0.8172,-0.0000
baseline,clustered,1536,l2,10,0.0400,0.0740,0.1050,0.1450,0.2330,0.2330,0.5097,0.8391,0.0000
baseline,clustered,1536,l2,50,0.1094,0.1878,0.2532,0.3402,0.4784,0.1878,0.5097,0.8391,0.0000
baseline,clustered,1536,l2,100,0.1772,0.2882,0.3624,0.4635,0.6519,0.1772,0.5097,0.8391,0.0000
adc,clustered,1536,l2,10,0.0870,0.1240,0.1750,0.2520,0.4010,0.4010,0.6618,0.7292,0.0000
adc,clustered,1536,l2,50,0.1772,0.3172,0.4266,0.5464,0.7130,0.3172,0.6618,0.7292,0.0000
adc,clustered,1536,l2,100,0.2899,0.4578,0.5505,0.6819,0.8534,0.2899,0.6618,0.7292,0.0000
rotation,clustered,1536,l2,10,0.0340,0.0700,0.0950,0.1600,0.2740,0.2740,0.4987,0.8439,-0.0000
rotation,clustered,1536,l2,50,0.1160,0.2138,0.2898,0.3840,0.5430,0.2138,0.4987,0.8439,-0.0000
rotation,clustered,1536,l2,100,0.1867,0.3143,0.3935,0.5135,0.7035,0.1867,0.4987,0.8439,-0.0000
adc_rot,clustered,1536,l2,10,0.0700,0.1200,0.1520,0.2440,0.3940,0.3940,0.6260,0.7464,0.0000
adc_rot,clustered,1536,l2,50,0.1824,0.3258,0.4310,0.5612,0.7216,0.3258,0.6260,0.7464,0.0000
adc_rot,clustered,1536,l2,100,0.2860,0.4670,0.5822,0.6976,0.8343,0.2860,0.6260,0.7464,0.0000
baseline,clustered,1536,cosine,10,0.0610,0.1230,0.1700,0.2370,0.3670,0.3670,0.6022,0.7711,-0.0000
baseline,clustered,1536,cosine,50,0.1714,0.2890,0.3712,0.4884,0.6368,0.2890,0.6022,0.7711,-0.0000
baseline,clustered,1536,cosine,100,0.2579,0.4064,0.4976,0.6135,0.7840,0.2579,0.6022,0.7711,-0.0000
adc,clustered,1536,cosine,10,0.0600,0.0890,0.1170,0.1770,0.2820,0.2820,0.6203,0.7654,-0.0000
adc,clustered,1536,cosine,50,0.1372,0.2374,0.3264,0.4540,0.6596,0.2374,0.6203,0.7654,-0.0000
adc,clustered,1536,cosine,100,0.2152,0.3645,0.4706,0.6354,0.8371,0.2152,0.6203,0.7654,-0.0000
rotation,clustered,1536,cosine,10,0.0380,0.0740,0.0960,0.1510,0.2560,0.2560,0.5940,0.7829,0.0000
rotation,clustered,1536,cosine,50,0.1244,0.2314,0.3068,0.4296,0.6116,0.2314,0.5940,0.7829,0.0000
rotation,clustered,1536,cosine,100,0.2092,0.3483,0.4487,0.5822,0.7749,0.2092,0.5940,0.7829,0.0000
adc_rot,clustered,1536,cosine,10,0.0360,0.0670,0.1040,0.1620,0.2760,0.2760,0.5832,0.7810,-0.0000
adc_rot,clustered,1536,cosine,50,0.1344,0.2426,0.3292,0.4438,0.6018,0.2426,0.5832,0.7810,-0.0000
adc_rot,clustered,1536,cosine,100,0.2198,0.3629,0.4676,0.5864,0.7555,0.2198,0.5832,0.7810,-0.0000
baseline,uniform,128,l2,10,0.1790,0.2650,0.3380,0.4300,0.5720,0.5720,0.6691,0.7232,0.0000
baseline,uniform,128,l2,50,0.2640,0.3918,0.4840,0.6092,0.7674,0.3918,0.6691,0.7232,0.0000
baseline,uniform,128,l2,100,0.3073,0.4610,0.5649,0.6987,0.8648,0.3073,0.6691,0.7232,0.0000
adc,uniform,128,l2,10,0.2880,0.4210,0.5250,0.6290,0.7820,0.7820,0.7797,0.6051,0.0000
adc,uniform,128,l2,50,0.3874,0.5530,0.6524,0.7744,0.9004,0.5530,0.7797,0.6051,0.0000
adc,uniform,128,l2,100,0.4293,0.6123,0.7226,0.8395,0.9534,0.4293,0.7797,0.6051,0.0000
rotation,uniform,128,l2,10,0.1230,0.1870,0.2380,0.3130,0.4320,0.4320,0.5656,0.8089,0.0000
rotation,uniform,128,l2,50,0.1918,0.2912,0.3612,0.4718,0.6406,0.2912,0.5656,0.8089,0.0000
rotation,uniform,128,l2,100,0.2361,0.3597,0.4480,0.5746,0.7652,0.2361,0.5656,0.8089,0.0000
adc_rot,uniform,128,l2,10,0.2300,0.3500,0.4130,0.5250,0.6600,0.6600,0.7130,0.6829,0.0000
adc_rot,uniform,128,l2,50,0.3124,0.4522,0.5518,0.6792,0.8438,0.4522,0.7130,0.6829,0.0000
adc_rot,uniform,128,l2,100,0.3606,0.5250,0.6317,0.7669,0.9117,0.3606,0.7130,0.6829,0.0000
baseline,uniform,128,cosine,10,0.2350,0.3370,0.4230,0.5310,0.6640,0.6640,0.7350,0.6564,0.0000
baseline,uniform,128,cosine,50,0.3134,0.4620,0.5644,0.6926,0.8394,0.4620,0.7350,0.6564,0.0000
baseline,uniform,128,cosine,100,0.3636,0.5326,0.6422,0.7718,0.9138,0.3636,0.7350,0.6564,0.0000
adc,uniform,128,cosine,10,0.1470,0.2370,0.3010,0.3800,0.5120,0.5120,0.6407,0.7487,0.0000
adc,uniform,128,cosine,50,0.2364,0.3590,0.4366,0.5570,0.7302,0.3590,0.6407,0.7487,0.0000
adc,uniform,128,cosine,100,0.2790,0.4197,0.5174,0.6525,0.8300,0.2790,0.6407,0.7487,0.0000
rotation,uniform,128,cosine,10,0.1490,0.2290,0.2840,0.3690,0.5080,0.5080,0.6258,0.7629,0.0000
rotation,uniform,128,cosine,50,0.2240,0.3340,0.4144,0.5320,0.6926,0.3340,0.6258,0.7629,0.0000
rotation,uniform,128,cosine,100,0.2653,0.4011,0.4945,0.6231,0.8080,0.2653,0.6258,0.7629,0.0000
adc_rot,uniform,128,cosine,10,0.1180,0.1940,0.2400,0.3190,0.4400,0.4400,0.6120,0.7766,-0.0000
adc_rot,uniform,128,cosine,50,0.2040,0.3096,0.3848,0.4984,0.6744,0.3096,0.6120,0.7766,-0.0000
adc_rot,uniform,128,cosine,100,0.2518,0.3799,0.4731,0.6097,0.7896,0.2518,0.6120,0.7766,-0.0000
baseline,uniform,384,l2,10,0.1640,0.2620,0.3290,0.4120,0.5530,0.5530,0.6634,0.7299,-0.0000
baseline,uniform,384,l2,50,0.2536,0.3818,0.4776,0.6020,0.7620,0.3818,0.6634,0.7299,-0.0000
baseline,uniform,384,l2,100,0.3045,0.4584,0.5600,0.6869,0.8574,0.3045,0.6634,0.7299,-0.0000
adc,uniform,384,l2,10,0.2760,0.4050,0.4940,0.6210,0.7500,0.7500,0.7761,0.6102,-0.0000
adc,uniform,384,l2,50,0.3788,0.5310,0.6358,0.7590,0.8954,0.5310,0.7761,0.6102,-0.0000
adc,uniform,384,l2,100,0.4228,0.6031,0.7127,0.8303,0.9531,0.4228,0.7761,0.6102,-0.0000
rotation,uniform,384,l2,10,0.1010,0.1710,0.2110,0.2820,0.4050,0.4050,0.5589,0.8151,0.0000
rotation,uniform,384,l2,50,0.1810,0.2864,0.3520,0.4684,0.6356,0.2864,0.5589,0.8151,0.0000
rotation,uniform,384,l2,100,0.2242,0.3446,0.4340,0.5625,0.7563,0.2242,0.5589,0.8151,0.0000
adc_rot,uniform,384,l2,10,0.2200,0.3210,0.3910,0.4950,0.6400,0.6400,0.7125,0.6829,0.0000
adc_rot,uniform,384,l2,50,0.3058,0.4462,0.5448,0.6752,0.8310,0.4462,0.7125,0.6829,0.0000
adc_rot,uniform,384,l2,100,0.3484,0.5086,0.6216,0.7545,0.9059,0.3484,0.7125,0.6829,0.0000
baseline,uniform,384,cosine,10,0.2280,0.3280,0.3940,0.4920,0.6550,0.6550,0.7304,0.6629,0.0000
baseline,uniform,384,cosine,50,0.3062,0.4552,0.5550,0.6858,0.8410,0.4552,0.7304,0.6629,0.0000
baseline,uniform,384,cosine,100,0.3572,0.5313,0.6378,0.7738,0.9196,0.3572,0.7304,0.6629,0.0000
adc,uniform,384,cosine,10,0.1530,0.2230,0.2770,0.3530,0.4830,0.4830,0.6355,0.7544,-0.0000
adc,uniform,384,cosine,50,0.2182,0.3318,0.4100,0.5320,0.6996,0.3318,0.6355,0.7544,-0.0000
adc,uniform,384,cosine,100,0.2682,0.4082,0.5065,0.6397,0.8188,0.2682,0.6355,0.7544,-0.0000
rotation,uniform,384,cosine,10,0.1320,0.2160,0.2560,0.3290,0.4610,0.4610,0.6116,0.7745,-0.0000
rotation,uniform,384,cosine,50,0.2142,0.3274,0.4046,0.5228,0.6932,0.3274,0.6116,0.7745,-0.0000
rotation,uniform,384,cosine,100,0.2599,0.3913,0.4863,0.6196,0.8049,0.2599,0.6116,0.7745,-0.0000
adc_rot,uniform,384,cosine,10,0.1320,0.2080,0.2560,0.3330,0.4620,0.4620,0.6058,0.7806,0.0000
adc_rot,uniform,384,cosine,50,0.2100,0.3204,0.3990,0.5192,0.6826,0.3204,0.6058,0.7806,0.0000
adc_rot,uniform,384,cosine,100,0.2503,0.3849,0.4768,0.6102,0.7951,0.2503,0.6058,0.7806,0.0000
baseline,uniform,768,l2,10,0.1610,0.2530,0.3070,0.3870,0.5490,0.5490,0.6671,0.7272,-0.0000
baseline,uniform,768,l2,50,0.2512,0.3812,0.4704,0.5934,0.7680,0.3812,0.6671,0.7272,-0.0000
baseline,uniform,768,l2,100,0.3024,0.4507,0.5571,0.6904,0.8607,0.3024,0.6671,0.7272,-0.0000
adc,uniform,768,l2,10,0.2810,0.3860,0.4770,0.5760,0.7580,0.7580,0.7759,0.6098,-0.0000
adc,uniform,768,l2,50,0.3688,0.5386,0.6416,0.7656,0.8962,0.5386,0.7759,0.6098,-0.0000
adc,uniform,768,l2,100,0.4224,0.6048,0.7113,0.8373,0.9496,0.4224,0.7759,0.6098,-0.0000
rotation,uniform,768,l2,10,0.1060,0.1620,0.2030,0.2760,0.4110,0.4110,0.5699,0.8085,-0.0000
rotation,uniform,768,l2,50,0.1788,0.2758,0.3504,0.4700,0.6394,0.2758,0.5699,0.8085,-0.0000
rotation,uniform,768,l2,100,0.2249,0.3505,0.4445,0.5746,0.7547,0.2249,0.5699,0.8085,-0.0000
adc_rot,uniform,768,l2,10,0.2210,0.3230,0.3970,0.4890,0.6420,0.6420,0.7116,0.6847,0.0000
adc_rot,uniform,768,l2,50,0.2974,0.4370,0.5362,0.6702,0.8306,0.4370,0.7116,0.6847,0.0000
adc_rot,uniform,768,l2,100,0.3461,0.5135,0.6184,0.7575,0.9009,0.3461,0.7116,0.6847,0.0000
baseline,uniform,768,cosine,10,0.2040,0.3250,0.3890,0.5050,0.6620,0.6620,0.7358,0.6568,-0.0000
baseline,uniform,768,cosine,50,0.3114,0.4638,0.5544,0.6806,0.8320,0.4638,0.7358,0.6568,-0.0000
baseline,uniform,768,cosine,100,0.3643,0.5334,0.6422,0.7698,0.9163,0.3643,0.7358,0.6568,-0.0000
adc,uniform,768,cosine,10,0.1360,0.2110,0.2650,0.3630,0.5060,0.5060,0.6389,0.7529,0.0000
adc,uniform,768,cosine,50,0.2240,0.3390,0.4164,0.5416,0.7192,0.3390,0.6389,0.7529,0.0000
adc,uniform,768,cosine,100,0.2709,0.4115,0.5073,0.6454,0.8255,0.2709,0.6389,0.7529,0.0000
rotation,uniform,768,cosine,10,0.1320,0.2010,0.2650,0.3440,0.4870,0.4870,0.6232,0.7657,-0.0000
rotation,uniform,768,cosine,50,0.2234,0.3334,0.4154,0.5342,0.7096,0.3334,0.6232,0.7657,-0.0000
rotation,uniform,768,cosine,100,0.2626,0.4042,0.5013,0.6329,0.8113,0.2626,0.6232,0.7657,-0.0000
adc_rot,uniform,768,cosine,10,0.1080,0.1930,0.2360,0.3060,0.4300,0.4300,0.6127,0.7754,-0.0000
adc_rot,uniform,768,cosine,50,0.1986,0.3080,0.3862,0.5092,0.6854,0.3080,0.6127,0.7754,-0.0000
adc_rot,uniform,768,cosine,100,0.2466,0.3791,0.4728,0.6089,0.8006,0.2466,0.6127,0.7754,-0.0000
baseline,uniform,1024,l2,10,0.1630,0.2420,0.3120,0.3920,0.5490,0.5490,0.6742,0.7221,0.0000
baseline,uniform,1024,l2,50,0.2508,0.3876,0.4738,0.5970,0.7656,0.3876,0.6742,0.7221,0.0000
baseline,uniform,1024,l2,100,0.3001,0.4458,0.5460,0.6860,0.8577,0.3001,0.6742,0.7221,0.0000
adc,uniform,1024,l2,10,0.2900,0.4180,0.5080,0.6170,0.7660,0.7660,0.7823,0.6035,-0.0000
adc,uniform,1024,l2,50,0.3694,0.5292,0.6374,0.7624,0.9024,0.5292,0.7823,0.6035,-0.0000
adc,uniform,1024,l2,100,0.4091,0.5953,0.7037,0.8324,0.9493,0.4091,0.7823,0.6035,-0.0000
rotation,uniform,1024,l2,10,0.1160,0.1810,0.2170,0.2780,0.4020,0.4020,0.5674,0.8083,-0.0000
rotation,uniform,1024,l2,50,0.1790,0.2828,0.3590,0.4638,0.6250,0.2828,0.5674,0.8083,-0.0000
rotation,uniform,1024,l2,100,0.2274,0.3513,0.4406,0.5632,0.7554,0.2274,0.5674,0.8083,-0.0000
